10.2307/3241482|Thirty-one species of thallose liverworts are recorded from Dalhousie, northwestern Himalayas.
10.2307/3240947| An excursion to one locality in the Driftless Area of southern Wisconsin and to several in Ashland and Bayfield Counties of northern Wisconsin resulted in the collection of 234 species of lichens. The southern locality, a calcareous sandstone bluff, yielded 93 species, many of them characteristic of dry lime-rich conditions. Maple-birch forests, grading into spruce-fir, characterized the northern localities where 183 species were collected. One species, Arthonia granosa B. de Lesd., is new to North America, and two new combinations, Micarea gelatinosa (Flrke) and M. viridescens (Schrad.), are made. 
10.2307/3241940|In a growing antheridium of Polytrichum, walls of the androgonial cells are conventional, except for frequent interruptions due to protoplasmic connections, which are larger than plasmadesmata, between adjacent androgones. Prior to final division, protoplasts round up because of thickening of the walls at the corners of cells. Dictyosomes seem to be important in secretion of wall materials. After the last division the thick walls take on a reticulate, and then alveolar, appearance in sectional views as the walls become the intercellular matrix. Each of the developing androcytes deposits a uniform granular wall layer against the alveolar matrix. The granular layer becomes the vesicle in which a sperm is released. In addition, an irregular granular-fibrillar layer is deposited within the vesicle. At maturity numerous sperm vesicles of a sperm mass are embedded in a continuous phase of lipid droplets. Lipids replace the thick walls that were present when androcytes were first differentiated. Wall developments are part of the preparation of the sperms for dispersal, and, as such, they are a crucial aspect of sperm maturation.
3244923|Three species of Saccogynidium Grolle (Geocalycaceae, Hepaticae) are recognized in China. Saccogynidium rigidulum (Nees) Grolle and S. muricellum (De Not.) Grolle are confirmed from Taiwan, and S. irregularospinum Gao, Cao, & Lai from Tibet and Taiwan is described as new to science. A key to Chinese species of Saccogynidium and illustrations of each species are presented.
20485810|Grimmia horrida, a new species from the NW of the Iberian Peninsula is described and illustrated. The new species is characterized by the ciliate hair-points. Additionally, the leaves are linear, strongly keeled so that the two blades of the lamina touch each other near the costa and then curve outward, the lamina is bistratose only at the margins and in small areas, and the connection to the terete hair-point is very abrupt in most leaves. Although all the specimens are sterile, this combination of characters is unique in Grimmia.
40732292|The lichen Usnea brasiliensis (Zahlbr.) Motyka is reported for the first time outside of the American continent from the Canary Islands. A description of the species is provided and possible relationships with other taxa are briefly discussed.
10.2307/3244019|Bryum argenteum frequently occurs in urban environments and therefore appears to have the ability to tolerate high levels of such atmospheric pollutants as lead. The presence of genetic variation for tolerance to lead was assessed within and among three populations of this species from Ithaca, New York state. Plants from these populations contained extremely different concentrations of lead and other metals, but there was little or no variation in metal tolerance among the populations. There were, however, significant differences in general vigor (growth rates across all experimental treatments) among populations. Moreover, the rural and suburban populations contained high levels of variation in vigor among haploid-sib families (families of gametophytes derived from different sporophytes). The urban population, in contrast, contained conspicuously less variation than the other two.
10.2307/3244185|A Pannaria-like lichen growing on debris, mosses, and other lichens in the northern Andes and adjacent regions is described. The specimens have characteristic acanthohyphidia, structures only known in the Corticiaceae. This is an addition to the many basidiolichens known from South America and is here described as a new genus, as none of the recognized genera has such structures.
10.2307/3241978|In Conocephalum supradecompositum (Lindb.) Steph., an annual species of Marchantiales, the spore mother cells are cylindrical, and the spores in a tetrad are linearly arranged and show a distinct dimorphism. This type of spore mother cells and tetrads has not been recorded before in bryophytes.
10.2307/3242875| Five new species of parmelioid lichens are described: Bulbothrix haleana Srusiaux, a saxicolous species containing salazinic acid; Parmotrema kahuziense Srusiaux, a large coriaceous species with small spores and protocetraric acid; Parmotrema lambinonii Srusiaux, the assumed pustulate counterpart of P. inexpectatum; P. subhanningtonianum Srusiaux, the sorediate counterpart of P. hanningtonianum; and P. pseudeunetum Srusiaux, which corresponds to Parmelia euneta auct. p.p., non Stirton. Two species are reported new for the African continent: Hypotrachyna chlorina (Mll. Arg.) Hale and H. protenta Hale. New localities are reported for the rare Bulbothrix pustulata (Hale) Hale, Hypotrachyna sublaevigata (Nyl.) Hale, Parmotrema bangii (Vainio) Hale and for Pseudoparmelia inhaminensis (Dodge) Hale. The following new combinations are made: Parmotrema cooperi (Steiner & Zahlbr.) Srusiaux, Parmotrema gardneri (Dodge) Srusiaux and Parmotrema pseudograyanum (Hale) Srusiaux. 
40732260|Xanthoparmelia teydea is described as new to science. This new species was found on basaltic rocks in the high mountains of the Canary Islands, in El Teide National Park (Tenerife Island). A description of the species is given together with notes on its chemistry, distribution, ecology and taxonomy. Possible associated taxa are briefly discussed.
10.2307/3243352| Arachniopsis minima Schust. is reported for the first time for the state of So Paulo. The report of Arachniopsis diacantha (Mont.) Howe from the state of Esprito Santo is treated here as a misidentification of material which we consider to be Telaranea nematodes (Gott. ex Aust.) Howe. Arachniopsis diacantha (Mont.) Howe is cited for the first time for the state of Bahia, and from the Atlantic forest of the state of So Paulo. Zoopsis antillana Steph. is cited for the first time for the states of Bahia, Gois, and So Paulo. 
10.2307/3243991|Two sorediate species of Caloplaca occur on seashore rocks in North America, Caloplaca flavogranulosa sp. nov., and C. citrina (Hoffm.) Th. Fr. Caloplaca citrina s.l. occurs on many substrates in many different environments, but the treatment of C. citrina in this paper comprises only the form occurring on seashore rocks. This form may represent a distinct taxon, separate from C. citrina s.s., but more extensive studies of the entire complex must be carried out to settle this problem. Caloplaca flavogranulosa is described here for the first time. It has previously been confused with several species, mostly nonsorediate. Caloplaca flavogranulosa is characterized by a discontinuous areolate to lobate or squamulose, yellowish-orange thallus, prominent prothallus, coarse granules, and soredia which are marginal or covering most of the thallus. Caloplaca flavogranulosa differs from C. citrina by having prominent prothallus, convex areoles with a narrow base, granules, and larger soredia.
